Drug Name,Temperature (oC),Concentration (mM),% Transmittance,Difference from Control
Fentanyl,25,0,100,0
Fentanyl,26,0,92.82536523,0
Fentanyl,27,0,100.461579,0
Fentanyl,28,0,92.46981739,0
Fentanyl,29,0,86.49679188,0
Fentanyl,30,0,80.66156922,0
Fentanyl,31,0,64.26877173,0
Fentanyl,32,0,50.35006088,0
Fentanyl,33,0,37.26776372,0
Fentanyl,34,0,27.52115566,0
Fentanyl,35,0,21.36321773,0
Fentanyl,36,0,18.08561716,0
Fentanyl,37,0,15.44068868,0
Fentanyl,38,0,14.55459081,0
Fentanyl,39,0,13.61444682,0
Fentanyl,40,0,12.97179271,0
Fentanyl,25,2,114.5512941,-14.55129414
Fentanyl,26,2,108.2264301,-15.40106489
Fentanyl,27,2,109.5636941,-9.102115063
Fentanyl,28,2,101.5468992,-9.077081849
Fentanyl,29,2,92.32797987,-5.831187993
Fentanyl,30,2,85.96730918,-5.305739966
Fentanyl,31,2,72.66634783,-8.397576097
Fentanyl,32,2,55.80417175,-5.454110869
Fentanyl,33,2,24.02518091,13.2425828
Fentanyl,34,2,10.25651926,17.26463639
Fentanyl,35,2,7.030723199,14.33249453
Fentanyl,36,2,5.445026528,12.64059063
Fentanyl,37,2,4.459984335,10.98070434
Fentanyl,38,2,4.10204103,10.45254978
Fentanyl,39,2,3.842967102,9.771479723
Fentanyl,40,2,3.854783577,9.117009133
Fentanyl,25,4,100.9252886,-0.925288608
Fentanyl,26,4,98.47666521,-5.651299982
Fentanyl,27,4,94.33365608,6.127922949
Fentanyl,28,4,88.03729025,4.432527148
Fentanyl,29,4,79.00719926,7.489592622
Fentanyl,30,4,70.90333559,9.758233632
Fentanyl,31,4,60.16353325,4.105238482
Fentanyl,32,4,50.5824662,-0.232405322
Fentanyl,33,4,28.92899413,8.338769588
Fentanyl,34,4,10.5844103,16.93674536
Fentanyl,35,4,5.436674516,15.92654321
Fentanyl,36,4,3.956701916,14.12891524
Fentanyl,37,4,3.221068791,12.21961989
Fentanyl,38,4,2.881818776,11.67277203
Fentanyl,39,4,2.572369392,11.04207743
Fentanyl,40,4,2.523480772,10.44831194
Fentanyl,25,6,88.57952219,11.42047781
Fentanyl,26,6,87.4312458,5.394119426
Fentanyl,27,6,82.03515443,18.42642459
Fentanyl,28,6,75.45128953,17.01852786
Fentanyl,29,6,69.8768523,16.61993958
Fentanyl,30,6,63.82634862,16.8352206
Fentanyl,31,6,53.17000078,11.09877095
Fentanyl,32,6,45.39416167,4.955899214
Fentanyl,33,6,28.97343588,8.29432784
Fentanyl,34,6,10.31177275,17.20938291
Fentanyl,35,6,4.51162852,16.85158921
Fentanyl,36,6,3.121284339,14.96433282
Fentanyl,37,6,2.498427012,12.94226167
Fentanyl,38,6,2.223309891,12.33128092
Fentanyl,39,6,1.948348613,11.66609821
Fentanyl,40,6,1.963360277,11.00843243
Fentanyl,25,8,97.79875662,2.201243384
Fentanyl,26,8,94.47857479,-1.653209564
Fentanyl,27,8,87.56556079,12.89601824
Fentanyl,28,8,80.10629888,12.36351851
Fentanyl,29,8,72.83386106,13.66293082
Fentanyl,30,8,67.34933832,13.31223089
Fentanyl,31,8,55.84701947,8.421752258
Fentanyl,32,8,46.95335899,3.396701887
Fentanyl,33,8,30.61963434,6.64812938
Fentanyl,34,8,12.97179271,14.54936295
Fentanyl,35,8,6.086019413,15.27719831
Fentanyl,36,8,4.463408814,13.62220834
Fentanyl,37,8,3.569987263,11.87070142
Fentanyl,38,8,3.169567463,11.38502334
Fentanyl,39,8,2.818382931,10.79606389
Fentanyl,40,8,2.818382931,10.15340978
Fentanyl,25,10,99.15927284,0.840727156
Fentanyl,26,10,93.46879992,-0.643434693
Fentanyl,27,10,84.46303186,15.99854717
Fentanyl,28,10,73.28245331,19.18736408
Fentanyl,29,10,66.0693448,20.42744708
Fentanyl,30,10,61.00049137,19.66107785
Fentanyl,31,10,54.82769649,9.44107524
Fentanyl,32,10,46.55860935,3.791451526
Fentanyl,33,10,22.76844303,14.49932069
Fentanyl,34,10,9.535277428,17.98587823
Fentanyl,35,10,6.627249688,14.73596804
Fentanyl,36,10,5.675446054,12.4101711
Fentanyl,37,10,4.958306089,10.48238259
Fentanyl,38,10,4.760654528,9.793936278
Fentanyl,39,10,4.663013434,8.95143339
Fentanyl,40,10,4.793653809,8.178138901
NaCl,25,0,100,0
NaCl,26,0,97.87384875,0
NaCl,27,0,98.1747943,0
NaCl,28,0,99.46417086,0
NaCl,29,0,99.23540961,0
NaCl,30,0,97.49896377,0
NaCl,31,0,96.01372814,0
NaCl,32,0,95.20651465,0
NaCl,33,0,94.40608763,0
NaCl,34,0,93.39708749,0
NaCl,35,0,93.18228015,0
NaCl,36,0,92.61187281,0
NaCl,37,0,92.11563141,0
NaCl,38,0,92.32797987,0
NaCl,39,0,92.39887142,0
NaCl,40,0,92.54081785,0
NaCl,25,2,88.57952219,11.42047781
NaCl,26,2,86.5632061,11.31064265
NaCl,27,2,85.17915616,12.99563815
NaCl,28,2,83.11256137,16.35160948
NaCl,29,2,79.43282347,19.80258614
NaCl,30,2,75.62522272,21.87374105
NaCl,31,2,70.9577768,25.05595134
NaCl,32,2,67.34933832,27.85717633
NaCl,33,2,64.51588612,29.89020151
NaCl,34,2,62.51726928,30.87981821
NaCl,35,2,61.00049137,32.18178878
NaCl,36,2,59.79524734,32.81662547
NaCl,37,2,59.15616342,32.95946799
NaCl,38,2,58.255017,34.07296287
NaCl,39,2,58.03188354,34.36698788
NaCl,40,2,57.98735951,34.55345834
NaCl,25,4,83.56030182,16.43969818
NaCl,26,4,81.15837324,16.71547551
NaCl,27,4,78.88601176,19.28878254
NaCl,28,4,76.38357836,23.0805925
NaCl,29,4,72.11074792,27.12466169
NaCl,30,4,65.26294488,32.2360189
NaCl,31,4,57.14786367,38.86586447
NaCl,32,4,51.2861384,43.92037625
NaCl,33,4,47.20630413,47.1997835
NaCl,34,4,44.63408814,48.76299935
NaCl,35,4,42.69070564,50.49157451
NaCl,36,4,41.2413937,51.37047911
NaCl,37,4,40.17908108,51.93655032
NaCl,38,4,39.32481305,53.00316682
NaCl,39,4,38.964281,53.43459042
NaCl,40,4,38.60705432,53.93376352
NaCl,25,6,83.94599865,16.05400135
NaCl,26,6,80.59968293,17.27416582
NaCl,27,6,77.92317984,20.25161446
NaCl,28,6,74.30191379,25.16225707
NaCl,29,6,69.07697858,30.15843103
NaCl,30,6,61.00049137,36.4984724
NaCl,31,6,50.81594426,45.19778388
NaCl,32,6,43.81942422,51.38709044
NaCl,33,6,39.44573021,54.96035742
NaCl,34,6,36.47539469,56.9216928
NaCl,35,6,34.32943586,58.85284429
NaCl,36,6,33.01160703,59.60026578
NaCl,37,6,32.28494122,59.83069019
NaCl,38,6,31.86642422,60.46155565
NaCl,39,6,31.6470573,60.75181412
NaCl,40,6,31.38099189,61.15982595
NaCl,25,8,84.78779348,15.21220652
NaCl,26,8,81.97221428,15.90163447
NaCl,27,8,78.88601176,19.28878254
NaCl,28,8,76.03262769,23.43154316
NaCl,29,8,70.03793508,29.19747454
NaCl,30,8,59.93308962,37.56587415
NaCl,31,8,47.78959316,48.22413498
NaCl,32,8,39.96378986,55.24272479
NaCl,33,8,35.42691484,58.97917279
